18PS01,Baldwin Ashleigh,India,bashleighl3@auda.org.au,Male,12-10-2006,A-,Punjab
18PS04,Des Giggs,Malawi,dgiggsl4@yellowpages.com,Male,28-12-2005,O+,Haryana
18PS07,Hobie Flacke,Portugal,hflackel5@skype.com,Male,31-01-2020,AB-,Goa
18PS16,Alexander Beadel,Czech Republic,abeadell6@bloomberg.com,Male,10-02-2017,A+,Andaman and Nicobar Islands
18PS17,Marie-ann Swan,Chile,mswanl7@skype.com,Female,10-03-2010,A-,Jharkhand
18PS21,Darlleen Jump,Yemen,djumpl8@weebly.com,Female,10-10-2006,B+,Sikkim
18PS24,Aube Smolan,Indonesia,asmolanl9@slashdot.org,Male,21-01-2013,AB-,Andaman and Nicobar Islands
18PS27,Artie Huet,Mexico,ahuetla@feedburner.com,Male,09-12-2012,B+,Daman and Diu
18PS35,Emlen Flawn,Russia,eflawnlb@lulu.com,Male,02-09-2010,A-,Dadra and Nagar Haveli
18PS42,Bevvy Veque,Japan,bvequelc@dot.gov,Female,01-05-2016,B+,Andhra Pradesh
18PS44,Kerk Waterhous,India,kwaterhousld@unicef.org,Male,04-07-2008,O-,Puducherry
