,NAME,ROLL,e-MAIL
0,Axe Thorneywork,2001CB40,athorneywork13@canalblog.com
1,Dynah Moakler,2001CB41,dmoakler14@newyorker.com
2,Adda Glyde,2001CB42,aglyde15@statcounter.com
3,Flint Knappitt,2001CB43,fknappitt16@cam.ac.uk
4,Naoma Yackiminie,2001CB44,nyackiminie17@scientificamerican.com
29,Glyn Gaw,2001CE40,ggaw2v@github.io
30,Ardith Shrive,2001CE41,ashrive2w@who.int
31,Abeu Filintsev,2001CE42,afilintsev2x@reverbnation.com
32,Bamby Wilkie,2001CE43,bwilkie2y@tinypic.com
33,Wyn Crole,2001CE44,wcrole2z@pcworld.com
34,Morgen Sturmey,2001CE45,msturmey30@artisteer.com
15,Josselyn Reddel,2001CS47,jreddel4w@ask.com
16,Juli Amorts,2001CS48,jamorts4x@dion.ne.jp
17,Tedda Woodington,2001CS49,twoodington4y@seesaa.net
18,Roslyn Pieche,2001CS50,rpieche4z@a8.net
19,Devland Busk,2001CS51,dbusk50@printfriendly.com
20,Alfons Tixier,2001CS52,atixier51@joomla.org
21,Anson Spreull,2001CS53,aspreull52@loc.gov
22,Pace Eastman,2001EE49,peastman77@gnu.org
23,Raeann Schooley,2001EE50,rschooley78@diigo.com
24,Gayel Lumsdall,2001EE51,glumsdall79@meetup.com
25,Olenka Paunton,2001EE52,opaunton7a@elpais.com
26,Traci Hengoed,2001EE53,thengoed7b@cmu.edu
27,Marga Coulter,2001EE54,mcoulter7c@360.cn
28,Jasun Lochet,2001EE55,jlochet7d@rambler.ru
5,Aurora Giabuzzi,2001ME49,agiabuzzi9i@china.com.cn
6,Fleming Yosevitz,2001ME50,fyosevitz9j@sogou.com
7,Malvina Isaq,2001ME51,misaq9k@umn.edu
8,Celinda Sheavills,2001ME52,csheavills9l@japanpost.jp
9,Theodore Woolliams,2001ME53,twoolliams9m@latimes.com
10,Travis Duckham,2001ME54,tduckham9n@etsy.com
11,Bondie Banaszczyk,2001ME55,bbanaszczyk9o@google.com.br
12,Hew Tolemache,2001MM26,htolemacheb6@last.fm
13,Bette Oggers,2001MM27,boggersb7@istockphoto.com
14,Dougy Kubecka,2001MM28,dkubeckab8@xing.com
