,NAME,ROLL,e-MAIL
0,Aron Dowbakin,2001CB01,adowbakin0@noaa.gov
1,Ramsey Sacks,2001CB02,rsacks1@epa.gov
2,Denys Fisby,2001CB03,dfisby2@yellowpages.com
3,Carissa Hibbart,2001CB04,chibbart3@blogtalkradio.com
4,Armstrong Covil,2001CB05,acovil4@google.cn
5,Conrado Housley,2001CB06,chousley5@dailymotion.com
30,Cinnamon D'Enrico,2001CE01,cdenrico1s@macromedia.com
31,Windham Brookesbie,2001CE02,wbrookesbie1t@ft.com
32,Wynn Magowan,2001CE03,wmagowan1u@unesco.org
33,Jane Guittet,2001CE04,jguittet1v@nymag.com
34,Maurizio Ixer,2001CE05,mixer1w@smugmug.com
16,Art Rizzone,2001CS01,arizzone3m@arizona.edu
17,Tallou Glassard,2001CS02,tglassard3n@dmoz.org
18,Merry O'Heyne,2001CS03,moheyne3o@wsj.com
19,Chip Duckwith,2001CS04,cduckwith3p@netscape.com
20,Merwyn Rihanek,2001CS05,mrihanek3q@imgur.com
21,Louise Noor,2001CS06,lnoor3r@ebay.com
22,Bartram Brear,2001CS07,bbrear3s@indiatimes.com
23,Lesley Grahlmans,2001EE01,lgrahlmans5v@naver.com
24,Chloe Coling,2001EE02,ccoling5w@delicious.com
25,Claudio Kennon,2001EE03,ckennon5x@independent.co.uk
26,Consalve Jacquemy,2001EE04,cjacquemy5y@smugmug.com
27,Alaster Scare,2001EE05,ascare5z@w3.org
28,Daune Regelous,2001EE06,dregelous60@accuweather.com
29,Virge Devenish,2001EE07,vdevenish61@cyberchimps.com
6,Tom Huge,2001ME01,thuge86@theatlantic.com
7,Stepha Gallant,2001ME02,sgallant87@163.com
8,Celle Luckings,2001ME03,cluckings88@arizona.edu
9,Evonne Shippard,2001ME04,eshippard89@163.com
10,Noby Brende,2001ME05,nbrende8a@umich.edu
11,Rabi Yukhnini,2001ME06,ryukhnini8b@ebay.com
12,Seka Decaze,2001ME07,sdecaze8c@unicef.org
13,Faythe Guillon,2001MM01,fguillonah@virginia.edu
14,Maryann De Meyer,2001MM02,mdeai@t.co
15,Portia Reaman,2001MM03,preamanaj@miibeian.gov.cn
