,NAME,ROLL,e-MAIL
0,Elie Bourne,2001CB19,ebournei@google.co.uk
1,Russ Heynel,2001CB20,rheynelj@ox.ac.uk
2,Dallas Burtt,2001CB21,dburttk@ihg.com
3,Derry Spoerl,2001CB22,dspoerll@cisco.com
4,Vivian Gonsalvez,2001CB23,vgonsalvezm@home.pl
5,Loy Antonetti,2001CB24,lantonettin@hubpages.com
29,Corby Trustram,2001CE16,ctrustram27@dot.gov
30,Mame Taylour,2001CE17,mtaylour28@symantec.com
31,Nataniel Elkington,2001CE18,nelkington29@miitbeian.gov.cn
32,Iorgo Monck,2001CE19,imonck2a@npr.org
33,Lucina Nowick,2001CE20,lnowick2b@hibu.com
34,Rowena Fishbourne,2001CE21,rfishbourne2c@hostgator.com
16,Zachariah Riepl,2001CS22,zriepl47@cyberchimps.com
17,Stacie Yukhnev,2001CS23,syukhnev48@miibeian.gov.cn
18,Phylys McGlade,2001CS24,pmcglade49@army.mil
19,Brnaba Conibear,2001CS25,bconibear4a@twitpic.com
20,Anjela Pauer,2001CS26,apauer4b@marriott.com
21,Sheba Fairhead,2001CS27,sfairhead4c@craigslist.org
22,Yankee Dakhov,2001CS28,ydakhov4d@timesonline.co.uk
23,Cody Strickland,2001EE22,cstrickland6g@virginia.edu
24,Genovera Jentgens,2001EE23,gjentgens6h@umn.edu
25,Rosette Beuscher,2001EE24,rbeuscher6i@fc2.com
26,Elayne Striker,2001EE25,estriker6j@slate.com
27,Cacilia Dymoke,2001EE26,cdymoke6k@telegraph.co.uk
28,Rona Allbrook,2001EE27,rallbrook6l@e-recht24.de
6,Devlin Momery,2001ME22,dmomery8r@reuters.com
7,Helsa Elsey,2001ME23,helsey8s@nyu.edu
8,Curr Jannaway,2001ME24,cjannaway8t@columbia.edu
9,Mandi Laverock,2001ME25,mlaverock8u@about.me
10,Dionne Deviney,2001ME26,ddeviney8v@diigo.com
11,Bron Wharmby,2001ME27,bwharmby8w@dell.com
12,Kylynn Scullard,2001MM10,kscullardaq@microsoft.com
13,Reyna Drable,2001MM11,rdrablear@go.com
14,Shandee Benettelli,2001MM12,sbenettellias@google.com
15,Webb Cleere,2001MM13,wcleereat@samsung.com
