,NAME,ROLL,e-MAIL
0,Joan Coulter,2001CB35,jcoultery@xinhuanet.com
1,Brittney Petri,2001CB36,bpetriz@ifeng.com
2,Edward Mathers,2001CB37,emathers10@google.nl
3,Tabbie Raoux,2001CB38,traoux11@nhs.uk
4,Earle Von Brook,2001CB39,evon12@timesonline.co.uk
29,Demetris Ceeley,2001CE34,dceeley2p@sun.com
30,Danni Withull,2001CE35,dwithull2q@amazonaws.com
31,Maxine Beere,2001CE36,mbeere2r@hp.com
32,Brook Le Blond,2001CE37,ble2s@fema.gov
33,Petunia Northwood,2001CE38,pnorthwood2t@clickbank.net
34,Rudolfo Fellowes,2001CE39,rfellowes2u@webmd.com
16,Marie-jeanne Mingardi,2001CS41,mmingardi4q@thetimes.co.uk
17,Sapphira Mico,2001CS42,smico4r@alibaba.com
18,Joanne Truin,2001CS43,jtruin4s@ca.gov
19,Wilma Braithwaite,2001CS44,wbraithwaite4t@salon.com
20,Rosmunda Rosenfarb,2001CS45,rrosenfarb4u@vk.com
21,Sisely Masarrat,2001CS46,smasarrat4v@columbia.edu
22,Barb Sheepy,2001EE42,bsheepy70@sciencedaily.com
23,Aaron Bonavia,2001EE43,abonavia71@gizmodo.com
24,Connie Carratt,2001EE44,ccarratt72@loc.gov
25,Birch Schultz,2001EE45,bschultz73@4shared.com
26,Dall Gosker,2001EE46,dgosker74@sitemeter.com
27,Reinald Joburn,2001EE47,rjoburn75@google.com.au
28,Nicol Kersey,2001EE48,nkersey76@icio.us
5,Allyson Blackhall,2001ME42,ablackhall9b@about.me
6,Minnaminnie Skirvane,2001ME43,mskirvane9c@delicious.com
7,Clem Manby,2001ME44,cmanby9d@posterous.com
8,Rhona Coggen,2001ME45,rcoggen9e@nhs.uk
9,Lydia Jacomb,2001ME46,ljacomb9f@whitehouse.gov
10,Rafaello Conti,2001ME47,rconti9g@edublogs.org
11,Lia Dutton,2001ME48,ldutton9h@geocities.com
12,Anatollo Davenhill,2001MM22,adavenhillb2@usda.gov
13,Wendie Burgwyn,2001MM23,wburgwynb3@nationalgeographic.com
14,Boris Casol,2001MM24,bcasolb4@bloglines.com
15,Rory Tutsell,2001MM25,rtutsellb5@wikimedia.org
