,NAME,ROLL,e-MAIL
0,Aleksandr Edelmann,2001CB13,aedelmannc@arizona.edu
1,Giovanna Dougliss,2001CB14,gdouglissd@woothemes.com
2,Diann Ker,2001CB15,dkere@ycombinator.com
3,Ellsworth Burfoot,2001CB16,eburfootf@umich.edu
4,Catlee ffrench Beytagh,2001CB17,cffrenchg@joomla.org
5,Dmitri Larrie,2001CB18,dlarrieh@google.co.jp
30,Aaron Zanicchelli,2001CE11,azanicchelli22@zimbio.com
31,Reiko Degg,2001CE12,rdegg23@vinaora.com
32,Beret Pratley,2001CE13,bpratley24@angelfire.com
33,Olav Aaron,2001CE14,oaaron25@com.com
34,Storm Mays,2001CE15,smays26@pbs.org
16,Desirae Shipman,2001CS15,dshipman40@ft.com
17,Laure Kenna,2001CS16,lkenna41@ucoz.ru
18,Jerrie Allred,2001CS17,jallred42@taobao.com
19,Ricky Pikhno,2001CS18,rpikhno43@gov.uk
20,Vonnie Stoney,2001CS19,vstoney44@meetup.com
21,Shellie Fiander,2001CS20,sfiander45@yahoo.com
22,Eleni Orsman,2001CS21,eorsman46@howstuffworks.com
23,Saundra Lehr,2001EE15,slehr69@lulu.com
24,Daisi Beardsley,2001EE16,dbeardsley6a@soundcloud.com
25,Patten Gunderson,2001EE17,pgunderson6b@weebly.com
26,Parrnell D'Antuoni,2001EE18,pdantuoni6c@cmu.edu
27,Cully Witheridge,2001EE19,cwitheridge6d@spiegel.de
28,Rhona Clears,2001EE20,rclears6e@sakura.ne.jp
29,Jillana Pothergill,2001EE21,jpothergill6f@paypal.com
6,Candis Mossom,2001ME15,cmossom8k@wsj.com
7,Lyndsey Peddar,2001ME16,lpeddar8l@google.fr
8,Hercule Pywell,2001ME17,hpywell8m@ucsd.edu
9,Dolorita Cullinane,2001ME18,dcullinane8n@admin.ch
10,Orel Scorthorne,2001ME19,oscorthorne8o@artisteer.com
11,Geri Howison,2001ME20,ghowison8p@w3.org
12,Teddie Gillow,2001ME21,tgillow8q@purevolume.com
13,Carroll Benkhe,2001MM07,cbenkhean@kickstarter.com
14,Roseline Appleby,2001MM08,rapplebyao@cmu.edu
15,Ashlin Scamaden,2001MM09,ascamadenap@bluehost.com
