,NAME,ROLL,e-MAIL
0,Melisent Perone,2001CB25,mperoneo@adobe.com
1,Cordelia Abbyss,2001CB26,cabbyssp@cdc.gov
2,Bibbie Hargreave,2001CB27,bhargreaveq@senate.gov
3,Phyllys Terrey,2001CB28,pterreyr@dagondesign.com
4,Arlen Delacoste,2001CB29,adelacostes@over-blog.com
29,Loria Whawell,2001CE22,lwhawell2d@zdnet.com
30,Antonie Wegener,2001CE23,awegener2e@scribd.com
31,Ardelia Thame,2001CE24,athame2f@webnode.com
32,Alfi Tompkin,2001CE25,atompkin2g@ebay.com
33,Katuscha Tregidga,2001CE26,ktregidga2h@ustream.tv
34,Rowena Kohen,2001CE27,rkohen2i@mashable.com
16,Salome Hymor,2001CS29,shymor4e@bandcamp.com
17,Ariela Ragdale,2001CS30,aragdale4f@addtoany.com
18,Wolfie Clother,2001CS31,wclother4g@hibu.com
19,Tracey Hoofe,2001CS32,thoofe4h@google.fr
20,Janos Gurys,2001CS33,jgurys4i@tinyurl.com
21,Micky McCarle,2001CS34,mmccarle4j@creativecommons.org
22,Corinne Rotchell,2001EE28,crotchell6m@ning.com
23,Dominik Lafont,2001EE29,dlafont6n@seattletimes.com
24,Alberik Idiens,2001EE30,aidiens6o@constantcontact.com
25,Ulrich Gouly,2001EE31,ugouly6p@scribd.com
26,Karlis Ruit,2001EE32,kruit6q@soundcloud.com
27,Perle Rexworthy,2001EE33,prexworthy6r@example.com
28,Cathi De Lisle,2001EE34,cde6s@biblegateway.com
5,Margaretta Been,2001ME28,mbeen8x@npr.org
6,Val Pace,2001ME29,vpace8y@samsung.com
7,Rudy Galland,2001ME30,rgalland8z@cdbaby.com
8,Margy Ginnell,2001ME31,mginnell90@cnbc.com
9,Jermaine Dwelley,2001ME32,jdwelley91@google.ru
10,Fernandina Barnby,2001ME33,fbarnby92@sciencedaily.com
11,Imelda Knapper,2001ME34,iknapper93@bandcamp.com
12,Ferdie Melliard,2001MM14,fmelliardau@nps.gov
13,Noach Schohier,2001MM15,nschohierav@bbb.org
14,Billie Tewkesberrie,2001MM16,btewkesberrieaw@statcounter.com
15,Ophelia Hayne,2001MM17,ohayneax@columbia.edu
