,NAME,ROLL,e-MAIL
0,Vitoria Bagshaw,2001CB55,vbagshaw1i@usda.gov
1,Kristan Mathiassen,2001CB56,kmathiassen1j@furl.net
2,Doralynn Ewbanks,2001CB57,dewbanks1k@omniture.com
3,Jordan Capnor,2001CB58,jcapnor1l@wix.com
4,Alphard Lesper,2001CB59,alesper1m@freewebs.com
29,Cecil Huttley,2001CE57,chuttley3c@wix.com
30,Tulley Statter,2001CE58,tstatter3d@apache.org
31,Tobie Groger,2001CE59,tgroger3e@mapquest.com
32,Blancha Lau,2001CE60,blau3f@123-reg.co.uk
33,Anders Melchior,2001CE61,amelchior3g@utexas.edu
15,Kean Saltmarshe,2001CS68,ksaltmarshe5h@aol.com
16,Heriberto Roughan,2001CS69,hroughan5i@newyorker.com
17,Aigneis Bolf,2001CS70,abolf5j@patch.com
18,Lazarus Andersen,2001CS71,landersen5k@biglobe.ne.jp
19,Sidonia Muat,2001CS72,smuat5l@spotify.com
20,Ezri Mac,2001CS73,emac5m@redcross.org
21,Bradan Leafe,2001CS74,bleafe5n@lycos.com
22,Parnell Bryer,2001EE70,pbryer7s@wikispaces.com
23,Carmela Thursfield,2001EE71,cthursfield7t@army.mil
24,Auroora MacPeice,2001EE72,amacpeice7u@ca.gov
25,Karlotte Cullinan,2001EE73,kcullinan7v@comsenz.com
26,George Stelljes,2001EE74,gstelljes7w@blogtalkradio.com
27,Jean Onions,2001EE75,jonions7x@ftc.gov
28,Guy Sesser,2001EE76,gsesser7y@t.co
5,Sinclare McVittie,2001ME70,smcvittiea3@usda.gov
6,Culver Scottrell,2001ME71,cscottrella4@wordpress.org
7,Hillary Page,2001ME72,hpagea5@barnesandnoble.com
8,Phineas Aikin,2001ME73,paikina6@globo.com
9,Marlane Domenico,2001ME74,mdomenicoa7@deviantart.com
10,Elwin Sperling,2001ME75,esperlinga8@storify.com
11,Mohandis Snead,2001ME76,msneada9@java.com
12,Huberto Rohloff,2001MM35,hrohloffbf@oracle.com
13,Man Baldelli,2001MM36,mbaldellibg@163.com
14,Michel Osichev,2001MM37,mosichevbh@berkeley.edu
