,NAME,ROLL,e-MAIL
0,Bobbye Oxbrough,2001CB30,boxbrought@theglobeandmail.com
1,York Martynikhin,2001CB31,ymartynikhinu@rediff.com
2,Sharity Bille,2001CB32,sbillev@ibm.com
3,Eustacia Izen,2001CB33,eizenw@howstuffworks.com
4,Debera Cherry,2001CB34,dcherryx@loc.gov
29,Jan Lobell,2001CE28,jlobell2j@cbslocal.com
30,Shawna Merida,2001CE29,smerida2k@csmonitor.com
31,Siffre Cordle,2001CE30,scordle2l@harvard.edu
32,Dallon Wittier,2001CE31,dwittier2m@addtoany.com
33,Prentiss Gwioneth,2001CE32,pgwioneth2n@edublogs.org
34,Robyn Nelsey,2001CE33,rnelsey2o@ebay.co.uk
16,Niles Brogan,2001CS35,nbrogan4k@mit.edu
17,Kellina Gibbeson,2001CS36,kgibbeson4l@ucoz.ru
18,Meyer Cubbinelli,2001CS37,mcubbinelli4m@toplist.cz
19,Ramsey Skelton,2001CS38,rskelton4n@constantcontact.com
20,Lina Naismith,2001CS39,lnaismith4o@businessweek.com
21,Boyd McPhate,2001CS40,bmcphate4p@drupal.org
22,Sybilla Rust,2001EE35,srust6t@wordpress.com
23,Velvet Rubinowicz,2001EE36,vrubinowicz6u@163.com
24,Sandro Endicott,2001EE37,sendicott6v@eepurl.com
25,Cully Hanwright,2001EE38,chanwright6w@mlb.com
26,Roi Tustin,2001EE39,rtustin6x@craigslist.org
27,Ray Doleman,2001EE40,rdoleman6y@feedburner.com
28,Inna Luisetti,2001EE41,iluisetti6z@ed.gov
5,Forster Kort,2001ME35,fkort94@usatoday.com
6,Kent Livsey,2001ME36,klivsey95@php.net
7,Jacobo Whyman,2001ME37,jwhyman96@slideshare.net
8,Vilhelmina Fleischmann,2001ME38,vfleischmann97@biglobe.ne.jp
9,Ted Gordon-Giles,2001ME39,tgordongiles98@acquirethisname.com
10,Eloise Battson,2001ME40,ebattson99@netlog.com
11,Mellisent Pottery,2001ME41,mpottery9a@163.com
12,Celinka Sweetenham,2001MM18,csweetenhamay@businessweek.com
13,Caddric Rubroe,2001MM19,crubroeaz@ca.gov
14,Jayson Adrien,2001MM20,jadrienb0@icq.com
15,Berne Okey,2001MM21,bokeyb1@facebook.com
