,NAME,ROLL,e-MAIL
0,Linc Crinson,2001CB50,lcrinson1d@redcross.org
1,Justin Pesik,2001CB51,jpesik1e@nytimes.com
2,Arlen Kiddell,2001CB52,akiddell1f@jimdo.com
3,Erek Rutledge,2001CB53,erutledge1g@rediff.com
4,Eugene De Hooge,2001CB54,ede1h@blogtalkradio.com
29,Aldric Bellefonte,2001CE52,abellefonte37@home.pl
30,Con Sieghart,2001CE53,csieghart38@hud.gov
31,Delora Farens,2001CE54,dfarens39@opensource.org
32,Desmund Judkin,2001CE55,djudkin3a@1688.com
33,Channa McFadyen,2001CE56,cmcfadyen3b@aboutads.info
15,Micky Axelbee,2001CS61,maxelbee5a@soup.io
16,Stearn Malarkey,2001CS62,smalarkey5b@amazonaws.com
17,Brigham Skarr,2001CS63,bskarr5c@jigsy.com
18,Anallese Speakman,2001CS64,aspeakman5d@trellian.com
19,Nester Cleverley,2001CS65,ncleverley5e@indiegogo.com
20,Cissiee von Nassau,2001CS66,cvon5f@fda.gov
21,Alexia Downey,2001CS67,adowney5g@chron.com
22,Libbie Oxterby,2001EE63,loxterby7l@utexas.edu
23,Lester MacGray,2001EE64,lmacgray7m@comcast.net
24,Dall Dumberell,2001EE65,ddumberell7n@apache.org
25,Jami Schimon,2001EE66,jschimon7o@utexas.edu
26,Reagan Synnott,2001EE67,rsynnott7p@amazon.com
27,Elna Toppas,2001EE68,etoppas7q@hostgator.com
28,Erin Roblin,2001EE69,eroblin7r@latimes.com
5,Sallyanne Grieveson,2001ME63,sgrieveson9w@foxnews.com
6,Mathilda Mc Cahey,2001ME64,mmc9x@meetup.com
7,Mischa Bront,2001ME65,mbront9y@mac.com
8,Yolanda Lound,2001ME66,ylound9z@w3.org
9,Marillin Smaridge,2001ME67,msmaridgea0@blog.com
10,Aksel Bruntjen,2001ME68,abruntjena1@hao123.com
11,Betsy Wollen,2001ME69,bwollena2@tamu.edu
12,Yolande Andrioli,2001MM32,yandriolibc@chron.com
13,Minda Gudgin,2001MM33,mgudginbd@arizona.edu
14,Reeba Higgen,2001MM34,rhiggenbe@wisc.edu
